id_fijo,nombre,orden,url,id_modal,zona,accesible,linea,tabla_origen,zona_actualizada,correspondencias
407,Velázquez,7,https://www.metromadrid.es/es/linea/linea-4#estacion-407,641.0,A,,4,linea_4,,[]
203,Goya,8,https://www.metromadrid.es/es/linea/linea-4#estacion-203,500.0,A,,4,linea_4,,"[""2""]"
409,Lista,9,https://www.metromadrid.es/es/linea/linea-4#estacion-409,540.0,A,,4,linea_4,,[]
410,Diego de León,10,https://www.metromadrid.es/es/linea/linea-4#estacion-410,479.0,A,,4,linea_4,,"[""5"", ""6""]"
411,Avenida de América,11,https://www.metromadrid.es/es/linea/linea-4#estacion-411,433.0,A,,4,linea_4,,"[""6"", ""7"", ""9""]"
412,Prosperidad,12,https://www.metromadrid.es/es/linea/linea-4#estacion-412,593.0,A,,4,linea_4,,[]
413,Alfonso XIII,13,https://www.metromadrid.es/es/linea/linea-4#estacion-413,409.0,A,,4,linea_4,,[]
414,Avenida de la Paz,14,https://www.metromadrid.es/es/linea/linea-4#estacion-414,436.0,A,,4,linea_4,,[]
415,Arturo Soria,15,https://www.metromadrid.es/es/linea/linea-4#estacion-415,429.0,A,,4,linea_4,,[]
416,Esperanza,16,https://www.metromadrid.es/es/linea/linea-4#estacion-416,488.0,A,,4,linea_4,,[]
417,Canillas,17,https://www.metromadrid.es/es/linea/linea-4#estacion-417,453.0,A,,4,linea_4,,[]
418,Mar de Cristal,18,https://www.metromadrid.es/es/linea/linea-4#estacion-418,548.0,A,,4,linea_4,,"[""8""]"
419,San Lorenzo,19,https://www.metromadrid.es/es/linea/linea-4#estacion-419,619.0,A,,4,linea_4,,[]
420,Parque de Santa María,20,https://www.metromadrid.es/es/linea/linea-4#estacion-420,576.0,A,,4,linea_4,,[]
421,Hortaleza,21,https://www.metromadrid.es/es/linea/linea-4#estacion-421,506.0,A,,4,linea_4,,[]
422,Manoteras,22,https://www.metromadrid.es/es/linea/linea-4#estacion-422,544.0,A,,4,linea_4,,[]
153,Pinar de Chamartín,23,https://www.metromadrid.es/es/linea/linea-4#estacion-153,581.0,A,,4,linea_4,,"[""1""]"
552,Alameda de Osuna,1,https://www.metromadrid.es/es/linea/linea-5#estacion-552,407.0,A,,5,linea_5,,[]
551,El Capricho,2,https://www.metromadrid.es/es/linea/linea-5#estacion-551,482.0,A,,5,linea_5,,[]
501,Canillejas,3,https://www.metromadrid.es/es/linea/linea-5#estacion-501,454.0,A,,5,linea_5,,[]
502,Torre Arias,4,https://www.metromadrid.es/es/linea/linea-5#estacion-502,631.0,A,,5,linea_5,,[]
503,Suanzes,5,https://www.metromadrid.es/es/linea/linea-5#estacion-503,628.0,A,,5,linea_5,,[]
504,Ciudad Lineal,6,https://www.metromadrid.es/es/linea/linea-5#estacion-504,464.0,A,,5,linea_5,,[]
505,Pueblo Nuevo,7,https://www.metromadrid.es/es/linea/linea-5#estacion-505,594.0,A,,5,linea_5,,"[""7""]"
506,Quintana,8,https://www.metromadrid.es/es/linea/linea-5#estacion-506,601.0,A,,5,linea_5,,[]
507,El Carmen,9,https://www.metromadrid.es/es/linea/linea-5#estacion-507,483.0,A,,5,linea_5,,[]
201,Ventas,10,https://www.metromadrid.es/es/linea/linea-5#estacion-201,642.0,A,,5,linea_5,,"[""2""]"
410,Diego de León,11,https://www.metromadrid.es/es/linea/linea-5#estacion-410,479.0,A,,5,linea_5,,"[""4"", ""6""]"
510,Núñez de Balboa,12,https://www.metromadrid.es/es/linea/linea-5#estacion-510,563.0,A,,5,linea_5,,"[""9""]"
511,Rubén Darío,13,https://www.metromadrid.es/es/linea/linea-5#estacion-511,610.0,A,,5,linea_5,,[]
404,Alonso Martínez,14,https://www.metromadrid.es/es/linea/linea-5#estacion-404,413.0,A,,5,linea_5,,"[""10"", ""4""]"
513,Chueca,15,https://www.metromadrid.es/es/linea/linea-5#estacion-513,462.0,A,,5,linea_5,,[]
111,Gran Vía,16,https://www.metromadrid.es/es/linea/linea-5#estacion-111,501.0,A,,5,linea_5,,"[""1""]"
307,Callao,17,https://www.metromadrid.es/es/linea/linea-5#estacion-307,450.0,A,,5,linea_5,,"[""3""]"
209,Ópera,18,https://www.metromadrid.es/es/linea/linea-5#estacion-209,566.0,A,,5,linea_5,,"[""2"", ""Ramal""]"
517,La Latina,19,https://www.metromadrid.es/es/linea/linea-5#estacion-517 (sic),525.0,A,,5,linea_5,,[]
518,Puerta de Toledo,20,https://www.metromadrid.es/es/linea/linea-5#estacion-518,597.0,A,,5,linea_5,,[]
519,Acacias,21,https://www.metromadrid.es/es/linea/linea-5#estacion-519,404.0,A,,5,linea_5,,[]
520,Pirámides,22,https://www.metromadrid.es/es/linea/linea-5#estacion-520 (sic),584.0,A,,5,linea_5,,[]
521,Marqués de Vadillo,23,https://www.metromadrid.es/es/linea/linea-5#estacion-521,551.0,A,,5,linea_5,,[]
522,Urgel,24,https://www.metromadrid.es/es/linea/linea-5#estacion-522,635.0,A,,5,linea_5,,[]
523,Oporto,25,https://www.metromadrid.es/es/linea/linea-5#estacion-523,567.0,A,,5,linea_5,,"[""6""]"
524,Vista Alegre,26,https://www.metromadrid.es/es/linea/linea-5#estacion-524,651.0,A,,5,linea_5,,[]
525,Carabanchel,27,https://www.metromadrid.es/es/linea/linea-5#estacion-525,455.0,A,,5,linea_5,,[]
526,Eugenia de Montijo,28,https://www.metromadrid.es/es/linea/linea-5#estacion-526,492.0,A,,5,linea_5,,[]
527,Aluche,29,https://www.metromadrid.es/es/linea/linea-5#estacion-527,417.0,A,,5,linea_5,,[]
528,Empalme,30,https://www.metromadrid.es/es/linea/linea-5#estacion-528,487.0,A,,5,linea_5,,[]
529,Campamento,31,https://www.metromadrid.es/es/linea/linea-5#estacion-529,451.0,A,,5,linea_5,,[]
530,Casa de Campo,32,https://www.metromadrid.es/es/linea/linea-5#estacion-530,459.0,A,,5,linea_5,,"[""10""]"
601,Laguna,1,https://www.metromadrid.es/es/linea/linea-6#estacion-601,,A,,6,linea_6,,[]
602,Carpetana,2,https://www.metromadrid.es/es/linea/linea-6#estacion-602,,A,,6,linea_6,,[]
523,Oporto,3,https://www.metromadrid.es/es/linea/linea-6#estacion-523,567.0,A,,6,linea_6,,"[""5""]"
604,Opañel,4,https://www.metromadrid.es/es/linea/linea-6#estacion-604,,A,,6,linea_6,,[]
605,Plaza Elíptica,5,https://www.metromadrid.es/es/linea/linea-6#estacion-605,588.0,A,,6,linea_6,,"[""11""]"
606,Usera,6,https://www.metromadrid.es/es/linea/linea-6#estacion-606,,A,,6,linea_6,,[]
301,Legazpi,7,https://www.metromadrid.es/es/linea/linea-6#estacion-301,539.0,A,,6,linea_6,,"[""3""]"
608,Arganzuela – Planetario,8,https://www.metromadrid.es/es/linea/linea-6#estacion-608,,A,,6,linea_6,,[]
609,Méndez Álvaro,9,https://www.metromadrid.es/es/linea/linea-6#estacion-609,552.0,A,,6,linea_6,,[]
118,Pacífico,10,https://www.metromadrid.es/es/linea/linea-6#estacion-118,568.0,A,,6,linea_6,,"[""1""]"
611,Conde de Casal,11,https://www.metromadrid.es/es/linea/linea-6#estacion-611,470.0,A,,6,linea_6,,[]
612,Sainz de Baranda,12,https://www.metromadrid.es/es/linea/linea-6#estacion-612,611.0,A,,6,linea_6,,"[""9""]"
