id_estacion,linea,nombre_estacion,vestibulo,nombre_acceso,direccion
1107,11,La Fortuna,La Fortuna,San José,"C/ San José, 40"
1107,11,La Fortuna,La Fortuna,Ascensor,"C/ San José, 44, semiesquina C/ Del Carmen"
1201,12,Puerta del Sur,Alcalde Joaquín Vilumbrales,Ascensor,Avenida de la Libertad ALCORCÓN
1201,12,Puerta del Sur,Alcalde Joaquín Vilumbrales,"Avenida de la Libertad, pares",Avenida de la Libertad esquina a Avda. de Leganés ALCORCÓN
1201,12,Puerta del Sur,Alcalde Joaquín Vilumbrales,"Avenida de la Libertad, impares",Avenida de la Libertad del 1 al 9 ALCORCÓN
1201,12,Puerta del Sur,Olímpico Francisco Fernández Ochoa,Olímpico Francisco Fernández Ochoa,"Olímpico Fernández Ochoa, esquina a Avda. de Leganés ALCORCÓN"
1202,12,Parque Lisboa,Parque de Lisboa,Avenida de Leganés,"Avda. de Leganés, 20 (esquina c/ Porto Lagos, 20) ALCORCÓN"
1202,12,Parque Lisboa,Parque de Lisboa,Ascensor,"Avda. de Leganés, 20 (esquina c/ Porto Lagos, 20) ALCORCÓN"
1203,12,Alcorcón Central,Alcorcón Central,Renfe,Nivel -1 a la altura de la cancela de Metro ALCORCÓN
1203,12,Alcorcón Central,Alcorcón Central,Ascensor exterior,Avda. Móstoles ALCORCÓN
1203,12,Alcorcón Central,Alcorcón Central,Avda. Móstoles - Navalcarnero,"Pº Extremadura, 11, templete (también Avda. de Mostoles) ALCORCÓN"
