id_estacion,linea,nombre_estacion,id_modal,url,zona,accesible
351,3,Almendrales,410.0,https://www.metromadrid.es/es/linea/linea-3#estacion-351,A,False
301,3,Legazpi,539.0,https://www.metromadrid.es/es/linea/linea-3#estacion-301,A,False
302,3,Delicias,478.0,https://www.metromadrid.es/es/linea/linea-3#estacion-302,A,False
303,3,Palos de la Frontera,571.0,https://www.metromadrid.es/es/linea/linea-3#estacion-303,A,False
304,3,Embajadores,486.0,https://www.metromadrid.es/es/linea/linea-3#estacion-304,A,False
305,3,Lavapiés,537.0,https://www.metromadrid.es/es/linea/linea-3#estacion-305,A,False
112,3,Sol,627.0,https://www.metromadrid.es/es/linea/linea-3#estacion-112,A,False
307,3,Callao,450,https://www.metromadrid.es/es/linea/linea-3#estacion-307,A,False
308,3,Plaza de España,587.0,https://www.metromadrid.es/es/linea/linea-3#estacion-308,A,False
309,3,Ventura Rodríguez,644.0,https://www.metromadrid.es/es/linea/linea-3#estacion-309,A,False
310,3,Argüelles,425.0,https://www.metromadrid.es/es/linea/linea-3#estacion-310,A,False
311,3,Moncloa,557.0,https://www.metromadrid.es/es/linea/linea-3#estacion-311,A,False
310,4,Argüelles,425.0,https://www.metromadrid.es/es/linea/linea-4#estacion-310,A,False
212,4,San Bernardo,612.0,https://www.metromadrid.es/es/linea/linea-4#estacion-212,A,False
113,4,Bilbao,447.0,https://www.metromadrid.es/es/linea/linea-4#estacion-113,A,False
404,4,Alonso Martínez,413.0,https://www.metromadrid.es/es/linea/linea-4#estacion-404,A,False
405,4,Colón,467.0,https://www.metromadrid.es/es/linea/linea-4#estacion-405,A,False
406,4,Serrano,623.0,https://www.metromadrid.es/es/linea/linea-4#estacion-406,A,False
407,4,Velázquez,641.0,https://www.metromadrid.es/es/linea/linea-4#estacion-407,A,False
203,4,Goya,500.0,https://www.metromadrid.es/es/linea/linea-4#estacion-203,A,False
409,4,Lista,540.0,https://www.metromadrid.es/es/linea/linea-4#estacion-409,A,False
410,4,Diego de León,479.0,https://www.metromadrid.es/es/linea/linea-4#estacion-410,A,False
411,4,Avenida de América,433.0,https://www.metromadrid.es/es/linea/linea-4#estacion-411,A,False
412,4,Prosperidad,593.0,https://www.metromadrid.es/es/linea/linea-4#estacion-412,A,False
413,4,Alfonso XIII,409.0,https://www.metromadrid.es/es/linea/linea-4#estacion-413,A,False
414,4,Avenida de la Paz,436.0,https://www.metromadrid.es/es/linea/linea-4#estacion-414,A,False
415,4,Arturo Soria,429.0,https://www.metromadrid.es/es/linea/linea-4#estacion-415,A,False
416,4,Esperanza,488.0,https://www.metromadrid.es/es/linea/linea-4#estacion-416,A,False
417,4,Canillas,453.0,https://www.metromadrid.es/es/linea/linea-4#estacion-417,A,False
418,4,Mar de Cristal,548.0,https://www.metromadrid.es/es/linea/linea-4#estacion-418,A,False
419,4,San Lorenzo,619.0,https://www.metromadrid.es/es/linea/linea-4#estacion-419,A,False
420,4,Parque de Santa María,576.0,https://www.metromadrid.es/es/linea/linea-4#estacion-420,A,False
421,4,Hortaleza,506.0,https://www.metromadrid.es/es/linea/linea-4#estacion-421,A,False
422,4,Manoteras,544.0,https://www.metromadrid.es/es/linea/linea-4#estacion-422,A,False
153,4,Pinar de Chamartín,581.0,https://www.metromadrid.es/es/linea/linea-4#estacion-153,A,False
552,5,Alameda de Osuna,407.0,https://www.metromadrid.es/es/linea/linea-5#estacion-552,A,False
551,5,El Capricho,482.0,https://www.metromadrid.es/es/linea/linea-5#estacion-551,A,False
501,5,Canillejas,454.0,https://www.metromadrid.es/es/linea/linea-5#estacion-501,A,False
502,5,Torre Arias,631.0,https://www.metromadrid.es/es/linea/linea-5#estacion-502,A,False
503,5,Suanzes,628.0,https://www.metromadrid.es/es/linea/linea-5#estacion-503,A,False
504,5,Ciudad Lineal,464.0,https://www.metromadrid.es/es/linea/linea-5#estacion-504,A,False
505,5,Pueblo Nuevo,594.0,https://www.metromadrid.es/es/linea/linea-5#estacion-505,A,False
506,5,Quintana,601.0,https://www.metromadrid.es/es/linea/linea-5#estacion-506,A,False
507,5,El Carmen,483.0,https://www.metromadrid.es/es/linea/linea-5#estacion-507,A,False
201,5,Ventas,642.0,https://www.metromadrid.es/es/linea/linea-5#estacion-201,A,False
410,5,Diego de León,479.0,https://www.metromadrid.es/es/linea/linea-5#estacion-410,A,False
510,5,Núñez de Balboa,563.0,https://www.metromadrid.es/es/linea/linea-5#estacion-510,A,False
511,5,Rubén Darío,610.0,https://www.metromadrid.es/es/linea/linea-5#estacion-511,A,False
404,5,Alonso Martínez,413.0,https://www.metromadrid.es/es/linea/linea-5#estacion-404,A,False
513,5,Chueca,462.0,https://www.metromadrid.es/es/linea/linea-5#estacion-513,A,False
111,5,Gran Vía,501.0,https://www.metromadrid.es/es/linea/linea-5#estacion-111,A,False
307,5,Callao,450.0,https://www.metromadrid.es/es/linea/linea-5#estacion-307,A,False
216,5,Ópera,566.0,https://www.metromadrid.es/es/linea/linea-5#estacion-216,A,False
517,5,La Latina,525.0,https://www.metromadrid.es/es/linea/linea-5#estacion-517 (sic),A,False
518,5,Puerta de Toledo,597.0,https://www.metromadrid.es/es/linea/linea-5#estacion-518,A,False
519,5,Acacias,404.0,https://www.metromadrid.es/es/linea/linea-5#estacion-519,A,False
520,5,Pirámides,584.0,https://www.metromadrid.es/es/linea/linea-5#estacion-520 (sic),A,False
521,5,Marqués de Vadillo,551.0,https://www.metromadrid.es/es/linea/linea-5#estacion-521,A,False
522,5,Urgel,635.0,https://www.metromadrid.es/es/linea/linea-5#estacion-522,A,False
523,5,Oporto,567.0,https://www.metromadrid.es/es/linea/linea-5#estacion-523,A,False
524,5,Vista Alegre,651.0,https://www.metromadrid.es/es/linea/linea-5#estacion-524,A,False
525,5,Carabanchel,455.0,https://www.metromadrid.es/es/linea/linea-5#estacion-525,A,False
526,5,Eugenia de Montijo,492.0,https://www.metromadrid.es/es/linea/linea-5#estacion-526,A,False
527,5,Aluche,417.0,https://www.metromadrid.es/es/linea/linea-5#estacion-527,A,False
528,5,Empalme,487.0,https://www.metromadrid.es/es/linea/linea-5#estacion-528,A,False
529,5,Campamento,451.0,https://www.metromadrid.es/es/linea/linea-5#estacion-529,A,False
530,5,Casa de Campo,459.0,https://www.metromadrid.es/es/linea/linea-5#estacion-530,A,False
601,6,Laguna,,https://www.metromadrid.es/es/linea/linea-6#estacion-601,A,False
602,6,Carpetana,,https://www.metromadrid.es/es/linea/linea-6#estacion-602,A,False
523,6,Oporto,567.0,https://www.metromadrid.es/es/linea/linea-6#estacion-523,A,False
604,6,Opañel,,https://www.metromadrid.es/es/linea/linea-6#estacion-604,A,False
605,6,Plaza Elíptica,588.0,https://www.metromadrid.es/es/linea/linea-6#estacion-605,A,False
606,6,Usera,,https://www.metromadrid.es/es/linea/linea-6#estacion-606,A,False
301,6,Legazpi,539.0,https://www.metromadrid.es/es/linea/linea-6#estacion-301,A,False
608,6,Arganzuela – Planetario,,https://www.metromadrid.es/es/linea/linea-6#estacion-608,A,False
609,6,Méndez Álvaro,552.0,https://www.metromadrid.es/es/linea/linea-6#estacion-609,A,False
118,6,Pacífico,568.0,https://www.metromadrid.es/es/linea/linea-6#estacion-118,A,False
611,6,Conde de Casal,470.0,https://www.metromadrid.es/es/linea/linea-6#estacion-611,A,False
612,6,Sainz de Baranda,611.0,https://www.metromadrid.es/es/linea/linea-6#estacion-612,A,False
613,6,O’Donnell,564.0,https://www.metromadrid.es/es/linea/linea-6#estacion-613,A,False
202,6,Manuel Becerra,545.0,https://www.metromadrid.es/es/linea/linea-6#estacion-202,A,False
410,6,Diego de León,479.0,https://www.metromadrid.es/es/linea/linea-6#estacion-410,A,False
411,6,Avenida de América,433.0,https://www.metromadrid.es/es/linea/linea-6#estacion-411,A,False
617,6,República Argentina,602.0,https://www.metromadrid.es/es/linea/linea-6#estacion-617,A,False
618,6,Nuevos Ministerios,562.0,https://www.metromadrid.es/es/linea/linea-6#estacion-618,A,False
106,6,Cuatro Caminos,475.0,https://www.metromadrid.es/es/linea/linea-6#estacion-106,A,False
620,6,Guzmán el Bueno,503.0,https://www.metromadrid.es/es/linea/linea-6#estacion-620,A,False
621,6,Vicente Aleixandre,554.0,https://www.metromadrid.es/es/linea/linea-6#estacion-621,A,False
622,6,Ciudad Universitaria,465.0,https://www.metromadrid.es/es/linea/linea-6#estacion-622,A,False
311,6,Moncloa,557.0,https://www.metromadrid.es/es/linea/linea-6#estacion-311,A,False
310,6,Argüelles,425.0,https://www.metromadrid.es/es/linea/linea-6#estacion-310,A,False
625,6,Príncipe Pío,592.0,https://www.metromadrid.es/es/linea/linea-6#estacion-625,A,False
623,6,Puerta del Ángel,,https://www.metromadrid.es/es/linea/linea-6#estacion-623,A,False
626,6,Alto de Extremadura,,https://www.metromadrid.es/es/linea/linea-6#estacion-626,A,False
628,6,Lucero,,https://www.metromadrid.es/es/linea/linea-6#estacion-628,A,False
760,7,Hospital del Henares,,https://www.metromadrid.es/es/linea/linea-7#estacion-760,A,False
759,7,Henares,,https://www.metromadrid.es/es/linea/linea-7#estacion-759,A,False
758,7,Jarama,,https://www.metromadrid.es/es/linea/linea-7#estacion-758,A,False
757,7,San Fernando,,https://www.metromadrid.es/es/linea/linea-7#estacion-757,A,False
756,7,La Rambla,,https://www.metromadrid.es/es/linea/linea-7#estacion-756,A,False
755,7,Coslada Central,,https://www.metromadrid.es/es/linea/linea-7#estacion-755,A,False
754,7,Barrio del Puerto,443.0,https://www.metromadrid.es/es/linea/linea-7#estacion-754,A,False
751,7,Estadio Metropolitano,489.0,https://www.metromadrid.es/es/linea/linea-7#estacion-751,A,False
701,7,Las Musas,533.0,https://www.metromadrid.es/es/linea/linea-7#estacion-701,A,False
702,7,San Blas,613.0,https://www.metromadrid.es/es/linea/linea-7#estacion-702,A,False
703,7,Simancas,626.0,https://www.metromadrid.es/es/linea/linea-7#estacion-703,A,False
704,7,García Noblejas,498.0,https://www.metromadrid.es/es/linea/linea-7#estacion-704,A,False
705,7,Ascao,430.0,https://www.metromadrid.es/es/linea/linea-7#estacion-705,A,False
505,7,Pueblo Nuevo,594.0,https://www.metromadrid.es/es/linea/linea-7#estacion-505,A,False
707,7,Barrio de la Concepción,441.0,https://www.metromadrid.es/es/linea/linea-7#estacion-707,A,False
708,7,Parque de las Avenidas,573.0,https://www.metromadrid.es/es/linea/linea-7#estacion-708,A,False
709,7,Cartagena,458.0,https://www.metromadrid.es/es/linea/linea-7#estacion-709,A,False
411,7,Avenida de América,433.0,https://www.metromadrid.es/es/linea/linea-7#estacion-411,A,False
711,7,Gregorio Marañón,502.0,https://www.metromadrid.es/es/linea/linea-7#estacion-711,A,False
712,7,Alonso Cano,411.0,https://www.metromadrid.es/es/linea/linea-7#estacion-712,A,False
214,7,Canal,452.0,https://www.metromadrid.es/es/linea/linea-7#estacion-214,A,False
714,7,Islas Filipinas,515.0,https://www.metromadrid.es/es/linea/linea-7#estacion-714,A,False
620,7,Guzmán el Bueno,503.0,https://www.metromadrid.es/es/linea/linea-7#estacion-620,A,False
716,7,Francos Rodríguez,494.0,https://www.metromadrid.es/es/linea/linea-7#estacion-716,A,False
717,7,Valdezarza,640.0,https://www.metromadrid.es/es/linea/linea-7#estacion-717,A,False
718,7,Antonio Machado,421.0,https://www.metromadrid.es/es/linea/linea-7#estacion-718,A,False
719,7,Peñagrande,580.0,https://www.metromadrid.es/es/linea/linea-7#estacion-719,A,False
720,7,Avenida de la Ilustración,435.0,https://www.metromadrid.es/es/linea/linea-7#estacion-720,A,False
721,7,Lacoma,530.0,https://www.metromadrid.es/es/linea/linea-7#estacion-721,A,False
722,7,Arroyofresno,,https://www.metromadrid.es/es/linea/linea-7#estacion-722,A,False
723,7,Pitis,585.0,https://www.metromadrid.es/es/linea/linea-7#estacion-723,A,False
618,8,Nuevos Ministerios,562.0,https://www.metromadrid.es/es/linea/linea-8#estacion-618,A,False
802,8,Colombia,466.0,https://www.metromadrid.es/es/linea/linea-8#estacion-802,A,False
803,8,Pinar del Rey,582.0,https://www.metromadrid.es/es/linea/linea-8#estacion-803,A,False
418,8,Mar de Cristal,548.0,https://www.metromadrid.es/es/linea/linea-8#estacion-418,A,False
805,8,Feria de Madrid,493.0,https://www.metromadrid.es/es/linea/linea-8#estacion-805,A,False
